player,position,draft_year,draft_pos,performance_value
Jonathan Martin,RT,2012,42,0
Menelik Watson,RG,2013,42,3.7000000000000006
Jordan Matthews,WR,2014,42,0.6
Jalen Collins,CB,2015,42,0.4
Kamalei Correa,ED,2016,42,1.1
Marcus Williams,S,2017,42,5.8
Mike Gesicki,TE,2018,42,5.3
Laviska Shenault,WR,2020,42,0.5
Kyle Rudolph,TE,2011,43,5.5
Stephen Hill,WR,2012,43,0.1
Johnthan Banks,CB,2013,43,0.5
Weston Richburg,C,2014,43,5.4
Benardrick McKinney,LB,2015,43,5.6
Austin Johnson,IDL,2016,43,0.8
Sidney Jones,CB,2017,43,0.4
Kerryon Johnson,RB,2018,43,0.5
Jahlani Tavai,LB,2019,43,0.6
Cole Kmet,TE,2020,43,5.6
Titus Young,WR,2011,44,0
Jeff Allen,RG,2012,44,4.5
Kawann Short,IDL,2013,44,9.6
Cyrus Kouandjio,LT,2014,44,0.4
Hau'oli Kikaha,LB,2015,44,0
Jihad Ward,ED,2016,44,0.9000000000000001
Gerald Everett,TE,2017,44,3.3000000000000003
Dante Pettis,WR,2018,44,0.5
Elgton Jenkins,LG,2019,44,8.2
Grant Delpit,S,2020,44,5.3
Rahim Moore,S,2011,45,2.8
Alshon Jeffery,WR,2012,45,9.4
Kevin Minter,LB,2013,45,2.5
Paul Richardson,WR,2014,45,4.5
Eric Kendricks,LB,2015,45,5.6
Derrick Henry,RB,2016,45,6.3
Adam Shaheen,TE,2017,45,1.2
Josh Jackson,CB,2018,45,0.5
Joejuan Williams,CB,2019,45,0.5
"Antoine Winfield, Jr.",S,2020,45,8.2
Orlando Franklin,LG,2011,46,5.1
Mychal Kendricks,LB,2012,46,5.1
Kiko Alonso,LB,2013,46,4.3
Stephon Tuitt,IDL,2014,46,7.200000000000001
Jaquiski Tartt,S,2015,46,3.7000000000000006
A'Shawn Robinson,IDL,2016,46,4.3
Quincy Wilson,CB,2017,46,0.1
Breeland Speaks,IDL,2018,46,0.1
Greedy Williams,CB,2019,46,0.6
K.J. Hamler,WR,2020,46,0.1
Lance Kendricks,TE,2011,47,3.2
Bobby Wagner,LB,2012,47,7.5
Gavin Escobar,TE,2013,47,0.5
Trent Murphy,ED,2014,47,4.2
Eric Rowe,S,2015,47,2.6
Michael Thomas,WR,2016,47,10.2
Tyus Bowser,ED,2017,47,3
Christian Kirk,WR,2018,47,8.6
Marquise Blair,S,2019,47,0.2
Marlon Davidson,IDL,2020,47,0.4
Stefen Wisniewski,C,2011,48,1.4
Tavon Wilson,S,2012,48,0.7
Le'Veon Bell,RB,2013,48,7.3
Timmy Jernigan,IDL,2014,48,7.200000000000001
Denzel Perryman,LB,2015,48,3.2
Jason Spriggs,LT,2016,48,0.4
Joe Mixon,RB,2017,48,6.1
Uchenna Nwosu,ED,2018,48,4.6
Erik McCoy,C,2019,48,5.8
Darrell Taylor,ED,2020,48,1.2
Ben Ijalana,RT,2011,49,0.8
Kendall Reyes,IDL,2012,49,1.9
Johnathan Hankins,IDL,2013,49,5.4
Jace Amaro,TE,2014,49,0.8
Mitch Morse,C,2015,49,5.9
Jarran Reed,IDL,2016,49,5.8
Ryan Anderson,ED,2017,49,0.6
Dallas Goedert,TE,2018,49,7.8
